timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708685133539,41,POST Users-1,200,OK,Workload Config 1-11,text,true,,1608,143,1,1,https://reqres.in/api/user,41,0,0
1708685133835,117,GET Users,200,OK,Workload Config 1-12,text,true,,1178,122,1,1,https://reqres.in/api/users/2,117,0,75
1708685133953,466,POST Users,200,OK,Workload Config 1-12,text,true,,2222,398,2,2,https://reqres.in/api/user,77,0,30
1708685133953,77,POST Users-0,301,Moved Permanently,Workload Config 1-12,,true,,610,255,2,2,http://reqres.in/api/user,77,0,30
1708685134030,389,POST Users-1,200,OK,Workload Config 1-12,text,true,,1612,143,2,2,https://reqres.in/api/user,389,0,0
1708685134334,114,GET Users,200,OK,Workload Config 1-13,text,true,,1178,122,1,1,https://reqres.in/api/users/2,114,0,68
1708685134449,464,POST Users,200,OK,Workload Config 1-13,text,true,,2208,398,2,2,https://reqres.in/api/user,71,0,32
1708685134449,71,POST Users-0,301,Moved Permanently,Workload Config 1-13,,true,,600,255,2,2,http://reqres.in/api/user,71,0,32
1708685134520,393,POST Users-1,200,OK,Workload Config 1-13,text,true,,1608,143,2,2,https://reqres.in/api/user,393,0,0
1708685134838,115,GET Users,200,OK,Workload Config 1-14,text,true,,1178,122,1,1,https://reqres.in/api/users/2,115,0,74
1708685134954,106,POST Users,200,OK,Workload Config 1-14,text,true,,2220,398,1,1,https://reqres.in/api/user,71,0,30
1708685134954,71,POST Users-0,301,Moved Permanently,Workload Config 1-14,,true,,608,255,1,1,http://reqres.in/api/user,71,0,30
1708685135025,35,POST Users-1,200,OK,Workload Config 1-14,text,true,,1612,143,1,1,https://reqres.in/api/user,35,0,0
1708685135336,108,GET Users,200,OK,Workload Config 1-15,text,true,,1186,122,1,1,https://reqres.in/api/users/2,108,0,66
1708685135445,481,POST Users,200,OK,Workload Config 1-15,text,true,,2214,398,2,2,https://reqres.in/api/user,74,0,31
1708685135445,74,POST Users-0,301,Moved Permanently,Workload Config 1-15,,true,,606,255,2,2,http://reqres.in/api/user,74,0,31
1708685135519,407,POST Users-1,200,OK,Workload Config 1-15,text,true,,1608,143,2,2,https://reqres.in/api/user,407,0,0
1708685135837,130,GET Users,200,OK,Workload Config 1-16,text,true,,1186,122,1,1,https://reqres.in/api/users/2,130,0,84
1708685135967,106,POST Users,200,OK,Workload Config 1-16,text,true,,2220,398,1,1,https://reqres.in/api/user,69,0,32
1708685135967,69,POST Users-0,301,Moved Permanently,Workload Config 1-16,,true,,604,255,1,1,http://reqres.in/api/user,69,0,32
1708685136036,37,POST Users-1,200,OK,Workload Config 1-16,text,true,,1616,143,1,1,https://reqres.in/api/user,37,0,0
1708685136336,134,GET Users,200,OK,Workload Config 1-17,text,true,,1183,122,1,1,https://reqres.in/api/users/2,133,0,81
1708685136471,111,POST Users,200,OK,Workload Config 1-17,text,true,,2214,398,1,1,https://reqres.in/api/user,73,0,37
1708685136471,73,POST Users-0,301,Moved Permanently,Workload Config 1-17,,true,,610,255,1,1,http://reqres.in/api/user,73,0,37
1708685136544,38,POST Users-1,200,OK,Workload Config 1-17,text,true,,1604,143,1,1,https://reqres.in/api/user,38,0,0
1708685136835,126,GET Users,200,OK,Workload Config 1-18,text,true,,1186,122,1,1,https://reqres.in/api/users/2,126,0,75
1708685136962,115,POST Users,200,OK,Workload Config 1-18,text,true,,2222,398,1,1,https://reqres.in/api/user,76,0,34
1708685136962,76,POST Users-0,301,Moved Permanently,Workload Config 1-18,,true,,606,255,1,1,http://reqres.in/api/user,76,0,34
1708685137039,38,POST Users-1,200,OK,Workload Config 1-18,text,true,,1616,143,1,1,https://reqres.in/api/user,38,0,0
1708685137334,118,GET Users,200,OK,Workload Config 1-19,text,true,,1186,122,1,1,https://reqres.in/api/users/2,118,0,73
1708685137452,99,POST Users,200,OK,Workload Config 1-19,text,true,,2216,398,1,1,https://reqres.in/api/user,64,0,30
1708685137452,64,POST Users-0,301,Moved Permanently,Workload Config 1-19,,true,,608,255,1,1,http://reqres.in/api/user,64,0,30
1708685137516,35,POST Users-1,200,OK,Workload Config 1-19,text,true,,1608,143,1,1,https://reqres.in/api/user,35,0,0
1708685137836,130,GET Users,200,OK,Workload Config 1-20,text,true,,1190,122,1,1,https://reqres.in/api/users/2,129,0,86
1708685137967,117,POST Users,200,OK,Workload Config 1-20,text,true,,2212,398,1,1,https://reqres.in/api/user,70,0,31
1708685137967,70,POST Users-0,301,Moved Permanently,Workload Config 1-20,,true,,604,255,1,1,http://reqres.in/api/user,70,0,31
1708685138037,47,POST Users-1,200,OK,Workload Config 1-20,text,true,,1608,143,1,1,https://reqres.in/api/user,47,0,0
1708685138349,124,GET Users,200,OK,Workload Config 1-21,text,true,,1182,122,1,1,https://reqres.in/api/users/2,124,0,83
1708685138474,113,POST Users,200,OK,Workload Config 1-21,text,true,,2210,398,1,1,https://reqres.in/api/user,71,0,34
1708685138474,71,POST Users-0,301,Moved Permanently,Workload Config 1-21,,true,,602,255,1,1,http://reqres.in/api/user,71,0,34
1708685138545,42,POST Users-1,200,OK,Workload Config 1-21,text,true,,1608,143,1,1,https://reqres.in/api/user,41,0,0
1708685138833,137,GET Users,200,OK,Workload Config 1-22,text,true,,1186,122,1,1,https://reqres.in/api/users/2,137,0,80
1708685138970,106,POST Users,200,OK,Workload Config 1-22,text,true,,2216,398,1,1,https://reqres.in/api/user,69,0,27
1708685138970,69,POST Users-0,301,Moved Permanently,Workload Config 1-22,,true,,608,255,1,1,http://reqres.in/api/user,69,0,27
1708685139040,36,POST Users-1,200,OK,Workload Config 1-22,text,true,,1608,143,1,1,https://reqres.in/api/user,36,0,0
1708685139332,121,GET Users,200,OK,Workload Config 1-23,text,true,,1186,122,1,1,https://reqres.in/api/users/2,121,0,81
1708685139454,107,POST Users,200,OK,Workload Config 1-23,text,true,,2207,398,1,1,https://reqres.in/api/user,69,0,32
1708685139454,69,POST Users-0,301,Moved Permanently,Workload Config 1-23,,true,,598,255,1,1,http://reqres.in/api/user,69,0,32
1708685139523,38,POST Users-1,200,OK,Workload Config 1-23,text,true,,1609,143,1,1,https://reqres.in/api/user,38,0,0
1708685139833,107,GET Users,200,OK,Workload Config 1-24,text,true,,1190,122,1,1,https://reqres.in/api/users/2,107,0,73
1708685139941,122,POST Users,200,OK,Workload Config 1-24,text,true,,2213,398,1,1,https://reqres.in/api/user,73,0,33
1708685139941,73,POST Users-0,301,Moved Permanently,Workload Config 1-24,,true,,604,255,1,1,http://reqres.in/api/user,73,0,33
1708685140015,48,POST Users-1,200,OK,Workload Config 1-24,text,true,,1609,143,1,1,https://reqres.in/api/user,48,0,0
1708685140333,132,GET Users,200,OK,Workload Config 1-25,text,true,,1186,122,1,1,https://reqres.in/api/users/2,132,0,78
1708685140466,123,POST Users,200,OK,Workload Config 1-25,text,true,,2216,398,1,1,https://reqres.in/api/user,75,0,31
1708685140466,75,POST Users-0,301,Moved Permanently,Workload Config 1-25,,true,,608,255,1,1,http://reqres.in/api/user,75,0,31
1708685140542,47,POST Users-1,200,OK,Workload Config 1-25,text,true,,1608,143,1,1,https://reqres.in/api/user,47,0,0
1708685140834,109,GET Users,200,OK,Workload Config 1-26,text,true,,1186,122,1,1,https://reqres.in/api/users/2,109,0,69
1708685140944,117,POST Users,200,OK,Workload Config 1-26,text,true,,2210,398,1,1,https://reqres.in/api/user,82,0,33
